hh1,hh2,d1,no_relat1,ok1,sk1,bk1,scl1,so2,sc2,st2,scr2,sl2,sa2,sp2,so1,sc1,st1,scr1,sl1,sa1,sp1,d2,no_relat2,ok2,sk2,bk2,scl2,ne1,ne2,e1,e2,geod_distance,n_of_links_hh1,n_of_links_hh2,same_family1,same_family2,land2,livestock2,land1,livestock1,ol2,ol1,oli2,oli1,direct_link_hh1,direct_link_hh2,religion1,religion2,members1,members2
113,1,811.20001,1,0,0,0,0,.25,.25,0,.5,0,0,0,0,0,0,.5,.5,0,0,811.20001,1,0,0,0,0,0,0,0,0,3,6,11,0,0,2.9997959,865800,.58764702,1200,1.7629411,8.9993877,.012,8.658,0,0,Catholic,Catholic,2,3
76,1,804,0,1,0,0,1,.06666667,.73333335,.06666667,.06666667,.06666667,0,0,0,0,0,.5,.5,0,0,804,0,1,0,0,1,0,0,0,0,1,11,11,1,1,2.9997959,865800,2.0160091,29800,6.048027,8.9993877,.29800001,8.658,0,1,Lutheran,Catholic,3,3
17,1,127.2,0,1,0,0,0,.41666666,0,0,.41666666,.083333336,0,.083333336,0,0,0,.5,.5,0,0,127.2,0,1,0,0,0,0,0,0,0,1,24,11,1,1,2.9997959,865800,7.6963229,456000,23.088968,8.9993877,4.5599999,8.658,1,1,Catholic,Catholic,9,3
27,1,338.39999,1,0,0,0,0,0,.41666669,0,.41666669,0,0,.16666667,0,0,0,.5,.5,0,0,338.39999,1,0,0,0,0,0,0,0,0,3,4,11,0,0,2.9997959,865800,.48704579,0,1.4611374,8.9993877,0,8.658,0,0,Lutheran,Catholic,2,3
15,1,146.39999,1,0,0,0,0,.16666667,0,0,.16666667,0,0,.66666669,0,0,0,.5,.5,0,0,146.39999,1,0,0,0,0,0,0,0,0,2,6,11,0,0,2.9997959,865800,.99830061,60800,2.9949019,8.9993877,.60799998,8.658,0,0,Catholic,Catholic,2,3
23,1,312,1,0,0,0,0,.16666667,.66666669,0,.16666667,0,0,0,0,0,0,.5,.5,0,0,312,1,0,0,0,0,0,0,0,0,2,14,11,0,0,2.9997959,865800,.78397059,0,2.3519118,8.9993877,0,8.658,0,0,Muslim,Catholic,2,3
14,1,208.8,0,0,0,1,1,.083333336,.25,.083333336,.5,0,.083333336,0,0,0,0,.5,.5,0,0,208.8,0,0,0,1,1,0,0,0,0,2,8,11,1,1,2.9997959,865800,.54313731,0,1.6294119,8.9993877,0,8.658,0,0,Catholic,Catholic,3,3
86,1,900,1,0,0,0,0,0,.29166669,.16666667,.125,0,.125,.29166669,0,0,0,.5,.5,0,0,900,1,0,0,0,0,1,1,0,0,2,10,11,0,0,2.9997959,865800,1.878503,0,5.635509,8.9993877,0,8.658,0,0,Catholic,Catholic,5,3
29,1,532.79999,1,0,0,0,1,.11111111,0,0,.44444445,0,0,.44444445,0,0,0,.5,.5,0,0,532.79999,1,0,0,0,1,0,0,0,0,1,24,11,0,0,2.9997959,865800,3.250098,536200,9.7502937,8.9993877,5.362,8.658,1,0,Lutheran,Catholic,4,3
37,1,708,1,0,0,0,0,0,.5,0,.5,0,0,0,0,0,0,.5,.5,0,0,708,1,0,0,0,0,1,1,0,0,3,6,11,0,0,2.9997959,865800,.2310784,0,.69323522,8.9993877,0,8.658,0,0,Lutheran,Catholic,1,3
20,1,259.20001,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,.5,.5,0,0,259.20001,0,0,0,1,0,0,0,0,0,2,12,11,1,1,2.9997959,865800,1.5572079,49200,4.6716237,8.9993877,.49200001,8.658,0,0,Muslim,Catholic,2,3
47,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,.5,0,0,,1,0,0,0,0,0,0,0,0,2,4,11,0,0,2.9997959,865800,1.42249,0,4.2674699,8.9993877,0,8.658,0,0,Lutheran,Catholic,1,3
80,1,693.59998,1,0,0,0,0,0,.5,0,.5,0,0,0,0,0,0,.5,.5,0,0,693.59998,1,0,0,0,0,1,1,0,0,3,3,11,0,0,2.9997959,865800,.13454901,0,.40364701,8.9993877,0,8.658,0,0,Muslim,Catholic,2,3
18,1,232.8,0,0,0,1,1,0,.25,.25,.5,0,0,0,0,0,0,.5,.5,0,0,232.8,0,0,0,1,1,0,0,0,0,2,9,11,1,1,2.9997959,865800,1.106544,6000,3.3196321,8.9993877,.059999999,8.658,0,0,Catholic,Catholic,2,3
69,1,979.20001,1,0,0,0,0,0,.125,.16666667,.29166669,.125,0,.29166669,0,0,0,.5,.5,0,0,979.20001,1,0,0,0,0,0,0,0,0,3,7,11,0,0,2.9997959,865800,4.650588,33000,13.951764,8.9993877,.33000001,8.658,0,0,Catholic,Catholic,2,3
65,1,794.40002,1,0,0,0,0,0,.5,0,.5,0,0,0,0,0,0,.5,.5,0,0,794.40002,1,0,0,0,0,0,0,0,0,3,4,11,0,0,2.9997959,865800,1.060392,2400,3.1811762,8.9993877,.024,8.658,0,0,Lutheran,Catholic,2,3
