hh1,hh2,willingness_link1,willingness_link2,asymmetric_bilateral1,asymmetric_bilateral2,asymmetric_unilateral1,asymmetric_unilateral2,kinship1,kinship2,excess_wealth1,excess_wealth2,same_edu1,same_edu2,members1,members2,o_members1,o_members2,neighbors1,neighbors2,popularity1,popularity2,const1,const2
113,1,0,0,0,0,1,1,0,0,15.8824453353882,-15.8824453353882,0,0,2,3,3,2,0,0,.899999976158142,.200000002980232,1,2
76,1,0,1,0,0,1,1,0,0,11.3113594055176,-11.3113594055176,0,0,3,3,3,3,0,0,.899999976158142,.5,1,2
17,1,1,1,1,1,0,0,0,0,-9.99158096313477,9.99158096313477,0,0,9,3,3,9,1,1,.800000011920929,2.20000004768372,1,2
27,1,0,0,0,0,1,1,0,0,16.1962490081787,-16.1962490081787,0,0,2,3,3,2,1,1,.899999976158142,.400000005960464,1,2
15,1,0,0,0,0,1,1,0,0,14.0544853210449,-14.0544853210449,0,0,2,3,3,2,1,1,.899999976158142,.300000011920929,1,2
23,1,0,0,0,0,1,1,0,0,15.3054752349854,-15.3054752349854,0,0,2,3,3,2,1,1,.899999976158142,.5,1,2
14,1,0,0,0,0,1,1,0,0,16.0279750823975,-16.0279750823975,0,0,3,3,3,3,1,1,.899999976158142,.100000001490116,1,2
86,1,0,0,0,0,1,1,0,0,12.0218772888184,-12.0218772888184,1,1,5,3,3,5,0,0,.899999976158142,.899999976158142,1,2
29,1,1,0,1,1,0,0,0,0,2.54509353637695,-2.54509353637695,0,0,4,3,3,4,0,0,.800000011920929,1.60000002384186,1,2
37,1,0,0,0,0,1,1,0,0,16.9641513824463,-16.9641513824463,1,1,1,3,3,1,0,0,.899999976158142,.600000023841858,1,2
20,1,0,0,0,0,1,1,0,0,12.4937629699707,-12.4937629699707,0,0,2,3,3,2,1,1,.899999976158142,1,1,2
47,1,0,0,0,0,1,1,0,0,13.3899173736572,-13.3899173736572,0,0,1,3,3,1,0,0,.899999976158142,.100000001490116,1,2
80,1,0,0,0,0,1,1,0,0,17.2537403106689,-17.2537403106689,1,1,2,3,3,2,0,0,.899999976158142,.100000001490116,1,2
18,1,0,0,0,0,1,1,0,0,14.2777547836304,-14.2777547836304,0,0,2,3,3,2,1,1,.899999976158142,.800000011920929,1,2
69,1,0,0,0,0,1,1,0,0,3.37562274932861,-3.37562274932861,0,0,2,3,3,2,0,0,.899999976158142,.400000005960464,1,2
65,1,0,0,0,0,1,1,0,0,14.4522104263306,-14.4522104263306,0,0,2,3,3,2,0,0,.899999976158142,.100000001490116,1,2
5,1,0,0,0,0,1,1,0,0,15.6812887191772,-15.6812887191772,0,0,2,3,3,2,1,1,.899999976158142,.300000011920929,1,2
33,1,0,0,0,0,1,1,0,0,13.5687866210938,-13.5687866210938,0,0,2,3,3,2,0,0,.899999976158142,.600000023841858,1,2
21,1,0,0,0,0,1,1,0,0,13.9059171676636,-13.9059171676636,0,0,4,3,3,4,1,1,.899999976158142,1.39999997615814,1,2
